t_ms,hand_ax,hand_ay,hand_az,hand_gx,hand_gy,hand_gz,thumb_ax,thumb_ay,thumb_az,thumb_gx,thumb_gy,thumb_gz,index_ax,index_ay,index_az,index_gx,index_gy,index_gz,middle_ax,middle_ay,middle_az,middle_gx,middle_gy,middle_gz,ring_ax,ring_ay,ring_az,ring_gx,ring_gy,ring_gz,pinky_ax,pinky_ay,pinky_az,pinky_gx,pinky_gy,pinky_gz
151851,0.1162,-0.0931,-0.9796,-0.1526,-1.6937,-0.5646,-2.6287,-1.0272,0.0724,246.0938,14.8010,-11.8561,-0.9808,-0.0009,-0.0131,-0.6409,-331.8176,340.3625,0.0725,1.9688,0.1172,-11.8866,-122.6807,-0.1373,-0.0133,-0.0050,-2.6267,-190.8722,9.0637,246.0938,0.1177,-0.0942,-0.9799,-0.0305,-1.6785,-0.4730
152391,0.1158,-0.0936,-0.9796,-0.1221,-1.8005,-0.5646,-2.6538,-2.0267,0.0726,246.0938,14.5569,-11.8103,-0.9802,-0.0009,-0.0143,-0.6714,-328.4607,215.4236,0.0728,1.9688,0.1173,-11.8103,-122.6807,-0.1221,-0.0132,-0.0049,-2.6255,-315.8112,9.0942,246.0938,0.1187,-0.0931,-0.9812,-0.2136,-1.7853,-0.5646
152872,0.1168,-0.0940,-0.9795,-0.0763,-1.7548,-0.6409,-2.6287,-3.0262,0.0729,246.0938,14.5416,-11.7188,-0.9801,-0.0009,-0.0145,-0.5951,-328.2166,90.4846,0.0730,1.9688,0.1180,-11.6730,-122.7112,-0.1373,-0.0134,-0.0046,-2.6560,-440.7501,9.1248,246.0938,0.1176,-0.0944,-0.9803,-0.1984,-1.6937,-0.5798
153351,0.1166,-0.0951,-0.9806,-0.0916,-1.7090,-0.6256,-2.6267,3.9742,0.0731,246.0938,14.5874,-11.7188,-0.9801,-0.0010,-0.0133,-0.4730,-328.4607,-38.3606,0.0731,1.9688,0.1161,-11.7645,-122.5739,-0.1373,-0.0133,-0.0049,-2.6560,434.3109,9.1553,246.0938,0.1180,-0.0947,-0.9800,-0.2136,-1.7700,-0.4730
153832,0.1169,-0.0942,-0.9799,-0.1526,-1.7548,-0.5188,-2.6563,2.9747,0.0734,246.0938,14.5721,-11.6882,-0.9800,-0.0006,-0.0134,-0.5188,-331.6956,-159.3933,0.0734,1.9688,0.1166,-11.8713,-122.5281,-0.0916,-0.0145,-0.0048,-2.6543,309.3719,9.1858,246.0938,0.1168,-0.0942,-0.9806,-0.1526,-1.7548,-0.4272
154311,0.1158,-0.0933,-0.9824,-0.0916,-1.6937,-0.6104,-2.6558,1.9752,0.0736,246.0938,14.6179,-11.8561,-0.9786,-0.0017,-0.0143,-0.5798,-328.2166,-284.3323,0.0736,1.9688,0.1171,-11.6119,-122.3755,-0.1221,-0.0132,-0.0046,-2.6274,184.4330,9.2163,246.0938,0.1162,-0.0948,-0.9807,-0.0916,-1.5869,-0.6409
154791,0.1162,-0.0927,-0.9795,-0.1526,-1.7395,-0.6104,-2.6560,1.0070,0.0739,246.0938,14.6790,-11.7340,-0.9800,-0.0012,-0.0140,-0.4730,-331.7566,-409.2712,0.0739,1.9688,0.1160,-11.7188,-122.4976,-0.1221,-0.0137,-0.0048,-2.6548,59.4940,9.2468,246.0938,0.1161,-0.0940,-0.9803,-0.1526,-1.8005,-0.6714
155271,0.1180,-0.0945,-0.9792,-0.1678,-1.7548,-0.5035,-2.6543,-0.0238,0.0740,246.0938,14.5721,-11.7645,-0.9814,-0.0004,-0.0135,-0.5035,-328.5217,465.7898,0.0741,1.9688,0.1183,-11.7035,-122.6654,-0.1221,-0.0137,-0.0046,-2.6265,-65.4449,9.2621,246.0938,0.1171,-0.0939,-0.9802,-0.1984,-1.7548,-0.5798
155751,0.1179,-0.0933,-0.9808,-0.1221,-1.7548,-0.5493,-2.6255,-0.9921,0.0742,246.0938,14.6332,-11.9629,-0.9814,-0.0013,-0.0140,-0.6256,-328.6438,340.8508,0.0743,1.9688,0.1157,-11.7645,-122.3755,-0.1373,-0.0135,-0.0039,-2.6560,-190.3839,9.2926,246.0938,0.1172,-0.0928,-0.9806,-0.0916,-1.6479,-0.5798
156231,0.1171,-0.0941,-0.9801,-0.0305,-1.6632,-0.6104,-2.6260,-2.0228,0.0745,246.0938,14.6179,-11.7950,-0.9808,-0.0020,-0.0135,-0.5188,-328.4912,215.9119,0.0746,1.9688,0.1157,-11.9781,-122.5433,-0.2289,-0.0134,-0.0046,-2.6563,-315.3229,9.3231,246.0938,0.1165,-0.0945,-0.9811,-0.1373,-1.6937,-0.6714
156711,0.1179,-0.0945,-0.9800,-0.1526,-1.8005,-0.4883,-2.6560,-2.9911,0.0747,246.0938,14.7095,-11.9171,-0.9810,-0.0004,-0.0131,-0.5798,-328.2166,94.8792,0.0748,1.9688,0.1160,-11.8256,-122.6349,-0.1678,-0.0143,-0.0056,-2.6270,-440.2618,9.3536,246.0938,0.1182,-0.0945,-0.9794,-0.0763,-1.6632,-0.5646
157191,0.1166,-0.0935,-0.9816,-0.1678,-1.7090,-0.6409,-2.6548,3.9781,0.0750,246.0938,14.5111,-11.8866,-0.9803,-0.0011,-0.0139,-0.5798,-332.0007,-33.9661,0.0750,1.9688,0.1177,-11.7188,-122.6196,-0.2136,-0.0135,-0.0048,-2.6558,434.7992,9.3842,246.0938,0.1167,-0.0936,-0.9806,-0.2136,-1.7395,-0.5798
157671,0.1183,-0.0940,-0.9806,-0.1221,-1.7548,-0.7477,-2.6260,2.9786,0.0752,246.0938,14.6790,-11.5204,-0.9806,-0.0017,-0.0140,-0.5646,-328.2166,-154.9988,0.0752,1.9688,0.1176,-11.9934,-122.5586,-0.1526,-0.0140,-0.0038,-2.6536,309.8602,9.4147,246.0938,0.1158,-0.0944,-0.9788,0.1068,-1.7090,-0.6714
