# sensor 0 OK
# sensor 1 OK
# sensor 2 OK
# sensor 3 OK
# sensor 4 OK
# sensor 5 OK
# sensor 0 = onboard LSM6DS3, 1..5 = finger MPU-6050
# SUBTRACT_GYRO_BIAS=1
# units: quat unitless, roll/pitch/yaw deg
millis,sensor_id,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg
# calib_start hold_still_ms=10000
# ---- gyro bias table (deg/s) from still window ----
# sensor_id,n,bias_x,bias_y,bias_z,std_x,std_y,std_z
# 0,1001,-0.198,-1.596,-0.458,0.213,0.049,0.055
# 1,1001,1.071,2.047,1.060,0.081,0.109,0.084
# 2,1001,0.360,2.009,-1.217,0.090,0.125,0.085
# 3,1001,-0.938,3.508,-0.463,0.089,0.147,0.084
# 4,1001,-0.317,3.755,-1.464,0.091,0.203,0.101
# 5,1001,5.788,-6.984,-0.814,0.286,0.344,0.119
# --------------------------------------------------
# ---- seeding orientation from calibration-window accel ----
# sensor 0 seed_accel=0.010,-0.013,1.006
# sensor 1 seed_accel=0.999,-0.001,0.148
# sensor 2 seed_accel=0.993,-0.015,0.220
# sensor 3 seed_accel=0.991,0.014,0.220
# sensor 4 seed_accel=0.975,-0.002,0.260
# sensor 5 seed_accel=1.230,0.171,0.097
# calib_end — fusion running now
11171,2,0.78185,-0.02496,-0.62253,-0.02347,-2.51,-77.06,-1.44
11171,3,0.77988,0.02363,-0.62510,0.02188,2.50,-77.43,1.21
11171,4,0.79396,-0.00244,-0.60796,-0.00236,-0.22,-74.88,-0.17
11171,5,0.65761,0.38502,-0.55986,0.32536,61.66,-80.71,-1.13
11182,0,0.99961,-0.02197,-0.01741,-0.00007,-2.52,-2.00,0.04
11182,1,0.75068,-0.00140,-0.66065,-0.00499,2.03,-82.69,-2.55
11182,2,0.77286,-0.03406,-0.63346,-0.01631,-9.31,-78.59,5.20
11182,3,0.77997,0.04189,-0.62437,0.00724,14.56,-77.06,-10.55
11182,4,0.78433,-0.00864,-0.62028,0.00238,-4.10,-76.65,3.59
11182,5,0.64533,0.38159,-0.57351,0.33019,65.87,-82.84,-5.30
11194,0,0.99999,-0.00337,-0.00316,-0.00009,-0.39,-0.36,-0.01
11194,1,0.76130,-0.00618,-0.64837,-0.00083,-3.00,-80.83,2.43
11194,2,0.78162,-0.02375,-0.62282,-0.02448,-1.70,-77.10,-2.23
11194,3,0.78095,0.02366,-0.62377,0.02181,2.53,-77.24,1.18
11194,4,0.79414,-0.00238,-0.60772,-0.00239,-0.19,-74.85,-0.20
11194,5,0.65775,0.38244,-0.56004,0.32780,59.47,-80.92,1.04
11206,0,0.99961,-0.02186,-0.01752,-0.00007,-2.51,-2.01,0.04
11206,1,0.75200,0.00283,-0.65910,-0.00858,6.77,-82.41,-7.23
11206,2,0.77762,-0.03892,-0.62741,-0.01240,-12.11,-77.62,7.92
11206,3,0.77351,0.03640,-0.63262,0.01171,11.90,-78.39,-7.98
11206,4,0.78808,0.01068,-0.61535,-0.01240,7.54,-75.84,-7.68
11206,5,0.66917,0.37855,-0.54790,0.32973,52.12,-79.39,8.27
11217,0,0.99999,-0.00370,-0.00274,-0.00007,-0.42,-0.31,-0.01
11217,1,0.76072,-0.00806,-0.64903,0.00084,-4.85,-80.91,4.26
11217,2,0.78145,-0.02187,-0.62304,-0.02600,-0.46,-77.13,-3.44
11217,3,0.78124,0.02384,-0.62339,0.02165,2.65,-77.18,1.06
11217,4,0.79257,-0.00613,-0.60975,0.00059,-2.33,-75.13,1.88
11217,5,0.65825,0.38301,-0.55942,0.32720,59.71,-80.79,0.80
11229,0,0.99966,-0.01823,-0.01854,-0.00008,-2.09,-2.12,0.03
