,-0.60308,-0.00606,-1.03,-74.19,-0.09
14081,3,0.78454,0.01860,-0.61964,0.01430,2.83,-76.60,-0.15
14081,4,0.79744,-0.00711,-0.60332,-0.00646,-0.75,-74.22,-0.36
14081,5,0.67366,0.35634,-0.57236,0.30267,55.79,-80.70,-0.04
14092,0,0.99986,-0.01414,-0.00913,0.00028,-1.62,-1.05,0.05
14092,1,0.76229,-0.01189,-0.64705,-0.01019,-1.74,-80.65,-0.05
14092,2,0.78370,-0.03152,-0.61981,-0.02543,-4.45,-76.68,-0.20
14092,3,0.78454,0.01888,-0.61963,0.01409,3.01,-76.60,-0.32
14092,4,0.79747,-0.00681,-0.60329,-0.00669,-0.59,-74.22,-0.52
14092,5,0.67349,0.35638,-0.57254,0.30267,55.89,-80.72,-0.14
14103,0,0.99986,-0.01393,-0.00946,0.00027,-1.60,-1.08,0.05
14103,1,0.76220,-0.01164,-0.64715,-0.01042,-1.50,-80.67,-0.29
14103,2,0.78388,-0.03160,-0.61959,-0.02536,-4.50,-76.65,-0.15
14103,3,0.78440,0.01906,-0.61981,0.01394,3.13,-76.63,-0.44
14103,4,0.79756,-0.00657,-0.60317,-0.00688,-0.46,-74.20,-0.64
14103,5,0.67370,0.35636,-0.57232,0.30264,55.79,-80.69,-0.05
14115,0,0.99986,-0.01384,-0.00983,0.00027,-1.59,-1.13,0.05
14115,1,0.76203,-0.01152,-0.64735,-0.01050,-1.41,-80.70,-0.38
14115,2,0.78401,-0.03182,-0.61941,-0.02521,-4.62,-76.62,-0.03
14115,3,0.78438,0.01875,-0.61983,0.01418,2.93,-76.63,-0.24
14115,4,0.79756,-0.00688,-0.60317,-0.00665,-0.62,-74.20,-0.48
14115,5,0.67353,0.35646,-0.57250,0.30254,55.96,-80.71,-0.22
14126,0,0.99986,-0.01348,-0.00999,0.00026,-1.55,-1.14,0.05
14126,1,0.76216,-0.01175,-0.64721,-0.01032,-1.61,-80.67,-0.18
14126,2,0.78391,-0.03203,-0.61954,-0.02503,-4.77,-76.64,0.11
14126,3,0.78446,0.01846,-0.61973,0.01440,2.75,-76.62,-0.07
14126,4,0.79757,-0.00717,-0.60315,-0.00645,-0.77,-74.20,-0.34
14126,5,0.67353,0.35619,-0.57254,0.30279,55.74,-80.73,0.00
14138,0,0.99986,-0.01368,-0.00966,0.00028,-1.57,-1.11,0.05
