# Cheirograph Phase 2 - single MPU-6050 (direct I2C, no mux), bench capture
# Sketch: firmware/02_single_mpu6050_test/diagnostics/gyro_raw/gyro_raw.ino
# Library: MPU6050_light (rfetick). Units: deg/s. Loop delay 10 ms (~100 Hz).
# The sensor was rotated and shaken freely by hand; rates swing to ~+/-240 deg/s
# on the fast flicks and settle near a small constant bias (~2-3 deg/s) when held
# still, which is the leftover the Madgwick filter will have to lean on later.
gx,gy,gz
17.77,-135.04,-146.29
12.26,-133.66,-143.99
4.73,-139.19,-136.46
-3.43,-148.29,-125.21
-11.43,-151.69,-115.20
-19.01,-148.96,-110.07
-27.19,-139.80,-110.26
-36.62,-121.02,-113.62
-43.14,-93.77,-117.94
-44.91,-63.92,-119.96
-44.70,-43.56,-114.29
-43.71,-33.66,-104.51
-46.67,-24.72,-98.49
-50.81,-10.34,-96.49
-52.32,9.73,-95.47
-52.40,31.79,-93.09
-51.25,51.59,-87.41
-50.59,67.42,-78.48
-51.01,80.47,-65.99
-51.92,85.88,-51.90
-50.87,80.53,-36.77
-51.14,71.94,-21.39
-53.45,67.18,-6.23
-56.21,66.37,6.35
-60.09,70.15,18.04
-63.75,75.02,28.35
-67.36,77.62,38.59
-69.40,81.25,47.23
-70.64,83.48,56.15
-73.30,84.95,65.14
-72.61,85.85,72.99
-71.83,88.38,81.54
-71.31,88.95,88.30
-73.05,88.50,92.97
-76.58,87.47,97.63
-78.75,87.65,104.10
-78.94,84.82,112.41
-78.50,77.18,119.40
-76.55,74.49,124.00
-71.72,75.76,126.62
-66.32,80.28,126.82
-61.13,92.35,124.48
-55.85,104.61,120.62
-48.33,103.76,118.45
-38.85,98.99,115.25
-29.01,103.48,108.16
-20.26,112.84,97.61
-11.74,124.87,85.03
-2.64,137.02,73.20
5.15,144.98,63.97
10.51,147.42,58.88
16.14,149.56,56.50
21.25,145.53,56.88
27.68,136.50,61.09
34.58,133.30,64.04
42.41,133.01,65.66
51.83,131.24,65.58
65.10,135.34,65.67
79.82,137.77,63.98
95.42,136.40,63.45
111.45,138.08,63.86
123.91,143.11,62.45
130.83,140.03,64.06
133.13,129.18,68.96
129.99,101.08,73.32
125.22,67.01,76.97
119.06,39.74,78.87
109.82,19.83,76.73
99.06,9.76,74.45
88.72,7.60,76.19
80.02,-0.81,78.35
72.95,-25.43,80.12
65.88,-58.76,83.75
57.77,-89.42,86.13
50.61,-113.60,79.83
45.64,-123.25,65.52
40.43,-119.63,48.38
30.92,-117.56,33.92
18.66,-126.85,24.03
4.70,-142.82,16.13
-5.37,-162.12,12.15
-12.21,-175.19,6.10
-14.36,-179.80,-4.71
-10.20,-178.09,-20.62
-2.01,-164.67,-38.92
7.79,-139.22,-59.45
16.57,-114.34,-82.11
21.68,-95.31,-104.54
23.06,-79.62,-122.81
20.18,-72.06,-132.26
15.89,-77.92,-134.89
7.35,-96.37,-123.93
-7.94,-118.93,-100.75
-26.49,-145.11,-71.79
-40.70,-171.72,-47.13
-46.11,-181.13,-33.29
-51.31,-164.85,-25.07
-57.85,-145.34,-18.49
-61.56,-135.01,-15.52
-60.20,-121.77,-19.96
